vesion,title,description,link,id,ns1:item_group_id,title2,link3,description4,ns1:google_product_category,ns1:l2_category,ns1:product_type,ns1:image_link,ns1:condition,ns1:size,ns1:color,ns1:availability,ns1:price,ns1:brand,ns1:shipping,ns1:sale_price,ns1:totaldiscount,ns1:pattern,ns1:adult,ns1:custom_label_3,ns1:custom_label_2,ns1:custom_label_4,ns1:gtin,ns1:gender,ns1:material
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506893,200508111,THE VANCA Women Sleeveless Lace Skater Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Sleeveless-Lace-Skater-Dress/p-200506893,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons If you're looking for the perfect cocktail dress, this stunning lace skater dress is just what you need to oomph up your wardrobe. Graced with a stylish dual-toned print pattern, this sleeveless dress features a lace waist band that cinches your waist perfectly. Made from superior-quality material, it is an absolute delight to wear for those evening cocktail dinners.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/he9/hf1/9145582747678/200508111_9212.png_230Wx334H,new,L,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,Y,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506762,200508079,THE VANCA Women Sleeveless Chequered Short Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Sleeveless-Chequered-Short-Dress/p-200506762,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Leave the days of fashion fixes behind you and opt for this stunning monochrome sleeveless dress. Graced with a vibrant chequered pattern, it hugs your figure in style, lending a chic, classy look. Slip into a pair of strappy stilettos and add a sequined sling bag to further elevate your look in style.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h92/h65/9065753640990/200508079_9100.jpg_230Wx334H,new,XL,White,in stock,2199 INR,THE VANCA,IN,660 INR,1539 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506763,200508080,THE VANCA Women Sleeveless Floral Print Maxi Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Sleeveless-Floral-Print-Maxi-Dress/p-200506763,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Add some monochrome cheer to your wardrobe with this graceful long sleeveless dress. Its vibrant floral print is its USP that catches the eye and looks stunning as you head out wearing it. With a stylish neck and a great fall, it is all you need to upgrade your look.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h6b/h75/9064836595742/200508080_9212.jpg_230Wx334H,new,S,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506896,200508112,THE VANCA Women Sleeveless Lace Skater Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Sleeveless-Lace-Skater-Dress/p-200506896,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons If you're looking for the perfect cocktail dress, this stunning lace skater dress is just what you need to oomph up your wardrobe. Graced with a stylish dual-toned print pattern, this sleeveless dress features a lace waist band that cinches your waist perfectly. Made from superior-quality material, it is an absolute delight to wear for those evening cocktail dinners.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h9e/h53/9065635807262/200508112_9212.jpg_230Wx334H,new,M,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506897,200508112,THE VANCA Women Sleeveless Lace Skater Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Sleeveless-Lace-Skater-Dress/p-200506897,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons If you're looking for the perfect cocktail dress, this stunning lace skater dress is just what you need to oomph up your wardrobe. Graced with a stylish dual-toned print pattern, this sleeveless dress features a lace waist band that cinches your waist perfectly. Made from superior-quality material, it is an absolute delight to wear for those evening cocktail dinners.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h9e/h53/9065635807262/200508112_9212.jpg_230Wx334H,new,L,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506766,200508080,THE VANCA Women Sleeveless Floral Print Maxi Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Sleeveless-Floral-Print-Maxi-Dress/p-200506766,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Add some monochrome cheer to your wardrobe with this graceful long sleeveless dress. Its vibrant floral print is its USP that catches the eye and looks stunning as you head out wearing it. With a stylish neck and a great fall, it is all you need to upgrade your look.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h6b/h75/9064836595742/200508080_9212.jpg_230Wx334H,new,XL,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506767,200508081,THE VANCA Women Floral Print Dress with Lace Detail  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Floral-Print-Dress-with-Lace-Detail/p-200506767,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Hit the party in style wearing this gorgeous flowy long dress. Featuring a vibrant floral pattern across the make and a lacy top-half, it is made to look you demure and classy. Crafted from a fine-quality fabric, this dress looks best with a pair of high-heeled stilettos.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/hb3/h3a/9065479602206/200508081_7086.jpg_230Wx334H,new,S,Multi,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506915,200508117,THE VANCA Women Floral Print Sleeveless Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Floral-Print-Sleeveless-Dress/p-200506915,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Add a dash of femininity to your look with this gorgeous sleeveless dress. Featuring a stunning leaf pattern with a hint of butterflies, it is cinched at the waist and is graced with a V-shaped back neck. Team it up with a pair of high-heeled stilettos to take your look to another level.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h40/h2a/9144717639710/200508117_9212.png_230Wx334H,new,S,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506916,200508117,THE VANCA Women Floral Print Sleeveless Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Floral-Print-Sleeveless-Dress/p-200506916,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Add a dash of femininity to your look with this gorgeous sleeveless dress. Featuring a stunning leaf pattern with a hint of butterflies, it is cinched at the waist and is graced with a V-shaped back neck. Team it up with a pair of high-heeled stilettos to take your look to another level.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h40/h2a/9144717639710/200508117_9212.png_230Wx334H,new,M,Black,in stock,1699 INR,THE VANCA,IN,510 INR,1189 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506769,200508081,THE VANCA Women Floral Print Dress with Lace Detail  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Floral-Print-Dress-with-Lace-Detail/p-200506769,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Hit the party in style wearing this gorgeous flowy long dress. Featuring a vibrant floral pattern across the make and a lacy top-half, it is made to look you demure and classy. Crafted from a fine-quality fabric, this dress looks best with a pair of high-heeled stilettos.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/hb3/h3a/9065479602206/200508081_7086.jpg_230Wx334H,new,L,Multi,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
